㝻;jin;3;jǐn
㝽;chui;2;chúi
㝾;zuo;3;zǔo
㝿;bo;2;bó
㞁;yao;4;yào
㞂;tui;3;tǔi
㞃;ji;2;jí
㞅;guo;3;gǔo
㞆;ji;3;jǐ
㞇;wei;3;wěi
㞊;xu;4;xù
㞋;nian;3;nǐan
㞌;yun;4;yùn
㞎;ba;3;bǎ
㞏;zhe;2;zhé
㞐;ju;1;jū
㞑;wei;3;wěi
㞒;xi;4;xì
㞓;qi;3;qǐ
㞔;yi;2;yí
㞕;xie;4;xìe
㞖;ci;4;cì
㞗;qiu;2;qíu
㞘;tun;2;tún
㞙;niao;4;nìao
㞚;qi;4;qì
㞛;ji;3;jǐ
㞟;dian;4;dìan
㞠;lao;2;láo
㞡;zhan;3;zhǎn
㞤;yin;2;yín
㞥;cen;2;cén
㞦;ji;3;jǐ
㞧;hui;4;hùi
㞨;zai;3;zǎi
㞩;lan;2;lán
㞪;nao;2;náo
㞫;ju;4;jù
㞬;qin;4;qìn
㞭;dai;4;dài
㞯;jie;2;jíe
㞰;xu;3;xǔ
㞲;yong;4;yòng
㞳;dou;3;dǒu
㞴;chi;2;chí
㞶;min;3;mǐn
㞷;huang;2;húang
㞸;sui;4;sùi
㞹;ke;3;kě
㞺;zu;2;zú
㞻;hao;4;hào
㞼;cheng;2;chéng
㞽;xue;4;xùe
㞾;ni;2;ní
㞿;chi;4;chì
㟀;lian;2;lían
㟁;an;4;àn
㟂;chi;3;chǐ
㟄;xiang;2;xíang
㟅;yang;2;yáng
㟆;hua;2;húa
㟇;cuo;2;cúo
㟈;qiu;2;qíu
㟉;lao;2;láo
㟊;fu;2;fú
㟋;dui;4;dùi
㟌;mang;2;máng
㟍;lang;2;láng
㟎;tuo;3;tǔo
㟏;han;2;hán
㟐;mang;3;mǎng
㟑;bo;2;bó
㟓;qi;2;qí
㟔;han;2;hán
㟖;long;4;lòng
㟘;tiao;2;tíao
㟙;lao;3;lǎo
㟚;qi;2;qí
㟛;zan;4;zàn
㟜;mi;2;mí
㟝;pei;2;péi
㟞;zhan;4;zhàn
㟟;xiang;4;xìang
㟠;gang;3;gǎng
㟢;qi;2;qí
㟤;lu;4;lù
㟦;yun;4;yùn
㟧;e;4;è
㟨;quan;2;qúan
㟩;min;2;mín
㟪;wei;3;wěi
㟫;quan;2;qúan
㟬;shu;3;shǔ
㟭;min;2;mín
㟰;ming;3;mǐng
㟱;yao;3;yǎo
㟲;jue;2;júe
㟳;li;4;lì
㟴;kuai;4;kùai
㟵;gang;3;gǎng
㟶;yuan;2;yúan
㟷;da;5;da
㟹;lao;2;láo
㟺;lou;2;lóu
㟻;qian;4;qìan
㟼;ao;2;áo
㟽;biao;3;bǐao
㟿;mang;2;máng
㠀;dao;3;dǎo
㠂;ao;2;áo
㠄;xi;2;xí
㠅;fu;2;fú
㠇;jiu;4;jìu
㠈;run;4;rùn
㠉;tong;2;tóng
㠊;qu;1;qū
㠋;e;4;è
㠍;ji;2;jí
㠎;ji;2;jí
㠏;hua;2;húa
㠐;jiao;4;jìao
㠑;zui;4;zùi
㠒;biao;3;bǐao
㠓;meng;2;méng
㠔;bai;4;bài
㠕;wei;3;wěi
㠖;ji;4;jì
㠗;ao;4;ào
㠘;yu;3;yǔ
㠙;hao;2;háo
㠚;dui;4;dùi
㠛;wo;4;wò
㠜;ni;4;nì
㠝;cuan;2;cúan
㠟;li;2;lí
㠠;lu;2;lú
㠡;niao;3;nǐao
㠢;hua;4;hùa
㠣;lai;4;lài
㠥;lv;4;lǜ
㠧;mi;2;mí
㠨;yu;4;yù
㠪;ju;4;jù
㠭;zhan;3;zhǎn
㠯;yi;3;yǐ
㠱;ji;4;jì
㠲;bi;3;bǐ
㠴;ren;4;rèn
㠶;fan;2;fán
㠷;ge;2;gé
㠸;ku;4;kù
㠹;jie;4;jìe
㠺;miao;2;míao
㠽;tong;2;tóng
㠿;ci;3;cǐ
㡀;bi;4;bì
㡁;kai;3;kǎi
㡂;li;4;lì
㡄;sun;3;sǔn
㡅;nuo;3;nǔo
㡇;ji;2;jí
㡈;men;2;mén
㡉;xian;2;xían
㡊;qia;4;qìa
㡋;e;4;è
㡌;mao;4;mào
㡏;tou;2;tóu
㡑;qiao;3;qǐao
㡔;wu;4;wù
㡖;chuang;2;chúang
㡗;ti;2;tí
㡘;lian;2;lían
㡙;bi;4;bì
㡛;mang;2;máng
㡜;xue;3;xǔe
㡝;feng;4;fèng
㡞;lei;3;lěi
㡠;zheng;4;zhèng
㡡;chu;2;chú
㡢;man;4;màn
㡣;long;2;lóng
㡥;yin;3;yǐn
㡧;zheng;4;zhèng
㡨;qian;1;qīan
㡩;luan;2;lúan
㡪;nie;2;níe
㡫;yi;4;yì
㡭;ji;4;jì
㡮;ji;2;jí
㡯;zhai;2;zhái
㡰;yu;3;yǔ
㡱;jiu;3;jǐu
㡲;huan;2;húan
㡳;di;3;dǐ
㡵;ling;2;líng
㡶;ji;4;jì
㡷;ben;3;běn
㡸;zha;3;zhǎ
㡹;ci;4;cì
㡺;dan;4;dàn
㡻;liao;4;lìao
㡼;yi;4;yì
㡽;zhao;4;zhào
㡾;xian;4;xìan
㡿;chi;4;chì
㢀;ci;4;cì
㢁;chi;3;chǐ
㢂;yan;3;yǎn
㢃;lang;2;láng
㢄;dou;4;dòu
㢅;long;4;lòng
㢆;chan;2;chán
㢈;tui;2;túi
㢉;cha;2;chá
㢊;ai;3;ǎi
㢋;chi;3;chǐ
㢍;ying;2;yíng
㢎;cha;4;chà
㢏;tou;2;tóu
㢑;tui;2;túi
㢒;cha;2;chá
㢓;yao;3;yǎo
㢔;zong;3;zǒng
㢗;qiao;4;qìao
㢘;lian;2;lían
㢙;qin;2;qín
㢚;lu;3;lǔ
㢛;yan;4;yàn
㢞;yi;4;yì
㢟;chan;3;chǎn
㢠;jiong;3;jǐong
㢡;jiang;3;jǐang
㢣;jing;4;jìng
㢥;dong;4;dòng
㢧;juan;4;jùan
㢨;han;4;hàn
㢩;di;4;dì
㢬;hong;2;hóng
㢮;chi;2;chí
㢯;min;2;mín
㢰;bi;4;bì
㢲;xun;4;xùn
㢳;lu;2;lú
㢵;she;4;shè
㢶;bi;4;bì
㢸;bi;4;bì
㢺;xian;2;xían
㢻;wei;3;wěi
㢼;bie;4;bìe
㢽;er;3;ěr
㢾;juan;4;jùan
㣀;zhen;4;zhèn
㣁;bei;4;bèi
㣂;yi;4;yì
㣃;yu;3;yǔ
㣄;qu;2;qú
㣅;zan;4;zàn
㣆;mi;2;mí
㣇;ni;3;nǐ
㣈;si;4;sì
㣌;shan;4;shàn
㣍;tai;2;tái
㣎;mu;4;mù
㣏;jing;4;jìng
㣐;bian;4;bìan
㣑;rong;2;róng
㣒;ceng;4;cèng
㣓;can;4;càn
㣙;di;2;dí
㣚;tong;2;tóng
㣛;ta;4;tà
㣜;xing;2;xíng
㣞;duo;2;dúo
㣟;xi;4;xì
㣠;tong;2;tóng
㣢;ti;2;tí
㣣;shan;3;shǎn
㣤;jian;4;jìan
㣥;zhi;4;zhì
㣧;yin;4;yìn
㣪;huan;3;hǔan
㣫;zhong;3;zhǒng
㣬;qi;4;qì
㣯;xie;4;xìe
㣰;xie;4;xìe
㣱;ze;2;zé
㣲;wei;2;wéi
㣵;ta;4;tà
㣶;zhan;1;zhān
㣷;ning;4;nìng
㣻;yi;4;yì
㣼;ren;3;rěn
㣽;shu;4;shù
㣾;cha;4;chà
㣿;zhuo;2;zhúo
㤁;mian;3;mǐan
㤂;ji;2;jí
㤃;fang;2;fáng
㤄;pei;4;pèi
